start,end,duration_mins
2017-05-21 19:55:00+00:00,2017-05-24 21:30:00+00:00,4415
2017-05-24 22:00:00+00:00,2017-05-26 17:30:00+00:00,2610
2017-05-26 18:20:00+00:00,2017-05-27 16:35:00+00:00,1335
2017-05-27 20:10:00+00:00,2017-05-29 20:10:00+00:00,2880
2017-09-21 06:40:00+00:00,2017-09-21 11:45:00+00:00,305
2017-09-21 11:55:00+00:00,2017-09-21 13:15:00+00:00,80
2017-09-21 20:25:00+00:00,2017-09-22 12:05:00+00:00,940
2017-09-22 12:30:00+00:00,2017-10-03 10:00:00+00:00,15690
2017-10-05 14:50:00+00:00,2017-10-06 04:30:00+00:00,820
2017-10-06 08:30:00+00:00,2017-10-09 16:05:00+00:00,4775
2017-10-09 17:05:00+00:00,2017-10-10 11:45:00+00:00,1120
2017-10-10 11:50:00+00:00,2017-10-11 04:20:00+00:00,990
2017-10-11 04:30:00+00:00,2017-10-11 06:30:00+00:00,120
2017-10-11 06:45:00+00:00,2017-10-11 21:45:00+00:00,900
2017-10-12 01:15:00+00:00,2017-10-13 14:55:00+00:00,2260
2017-10-13 16:50:00+00:00,2017-10-17 15:45:00+00:00,5695
2017-11-29 03:55:00+00:00,2017-11-30 10:25:00+00:00,1830
2017-11-30 10:30:00+00:00,2017-12-05 06:20:00+00:00,6950
2017-12-06 02:25:00+00:00,2017-12-07 04:20:00+00:00,1555
2018-07-06 23:05:00+00:00,2018-07-07 15:55:00+00:00,1010
2018-07-07 16:10:00+00:00,2018-07-08 14:10:00+00:00,1320
2018-08-30 16:15:00+00:00,2018-09-01 22:15:00+00:00,3240
2018-09-28 02:15:00+00:00,2018-09-28 12:40:00+00:00,625
2018-09-28 12:55:00+00:00,2018-10-15 13:10:00+00:00,24495
2018-10-15 13:15:00+00:00,2018-10-16 08:35:00+00:00,1160
2019-03-11 03:20:00+00:00,2019-03-13 11:25:00+00:00,3365
2019-03-13 13:05:00+00:00,2019-03-13 14:55:00+00:00,110
2019-03-13 15:45:00+00:00,2019-03-14 16:10:00+00:00,1465
2019-03-14 16:15:00+00:00,2019-03-16 12:10:00+00:00,2635
2019-03-16 12:15:00+00:00,2019-03-16 22:15:00+00:00,600
2019-05-07 06:40:00+00:00,2019-05-07 10:45:00+00:00,245
2019-05-07 22:40:00+00:00,2019-05-08 14:50:00+00:00,970
2019-05-09 00:20:00+00:00,2019-05-09 16:00:00+00:00,940
2019-05-09 16:20:00+00:00,2019-05-13 04:15:00+00:00,5035
2019-06-09 06:10:00+00:00,2019-06-09 11:15:00+00:00,305
2019-06-10 06:30:00+00:00,2019-06-10 12:15:00+00:00,345
2019-06-10 22:15:00+00:00,2019-06-11 15:35:00+00:00,1040
2019-06-11 23:25:00+00:00,2019-06-12 14:40:00+00:00,915
2019-06-12 14:55:00+00:00,2019-06-12 16:40:00+00:00,105
2019-06-12 21:15:00+00:00,2019-06-20 22:40:00+00:00,11605
2019-08-03 02:00:00+00:00,2019-08-03 13:45:00+00:00,705
2019-08-03 19:35:00+00:00,2019-08-13 12:15:00+00:00,13960
2019-09-15 23:40:00+00:00,2019-10-16 19:30:00+00:00,44390
2019-10-16 19:40:00+00:00,2019-10-18 12:10:00+00:00,2430
2019-10-18 12:35:00+00:00,2019-10-19 12:50:00+00:00,1455
2019-10-19 12:55:00+00:00,2019-10-19 14:55:00+00:00,120
2019-10-19 15:15:00+00:00,2019-10-24 09:10:00+00:00,6835
2019-12-03 19:20:00+00:00,2019-12-03 20:20:00+00:00,60
2019-12-03 20:25:00+00:00,2019-12-07 12:15:00+00:00,5270
2019-12-07 12:45:00+00:00,2019-12-11 09:20:00+00:00,5555
2019-12-11 09:25:00+00:00,2019-12-23 17:10:00+00:00,17745
2019-12-23 18:55:00+00:00,2019-12-23 20:35:00+00:00,100
2020-03-26 23:40:00+00:00,2020-04-30 12:05:00+00:00,49705
